"SECURITIES","ERROR CODE","NUM FLDS","OPT_EXPIRE_DT","OPT_STRIKE_PX","PX_BID","PX_MID","PX_ASK","OPT_PUT_CALL","DAYS_TO_MTY","TODAY_DT","OPT_DAYS_EXPIRE"
"SPX US 01/15/16 P2240 Index",0,9,"01/15/2016",2240.000000  ,197.700000  ,197.950000  ,198.200000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2245 Index",0,9,"01/15/2016",2245.000000  ,202.700000  ,202.950000  ,203.200000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2250 Index",0,9,"01/15/2016",2250.000000  ,207.700000  ,207.950000  ,208.200000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2255 Index",0,9,"01/15/2016",2255.000000  ,212.700000  ,212.950000  ,213.200000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2260 Index",0,9,"01/15/2016",2260.000000  ,217.700000  ,217.950000  ,218.200000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2265 Index",0,9,"01/15/2016",2265.000000  ,222.700000  ,222.950000  ,223.200000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2270 Index",0,9,"01/15/2016",2270.000000  ,227.700000  ,227.950000  ,228.200000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2275 Index",0,9,"01/15/2016",2275.000000  ,232.700000  ,232.950000  ,233.200000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2280 Index",0,9,"01/15/2016",2280.000000  ,237.700000  ,237.950000  ,238.200000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2285 Index",0,9,"01/15/2016",2285.000000  ,242.700000  ,242.950000  ,243.200000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2290 Index",0,9,"01/15/2016",2290.000000  ,247.600000  ,247.850000  ,248.100000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2295 Index",0,9,"01/15/2016",2295.000000  ,252.600000  ,252.850000  ,253.100000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2300 Index",0,9,"01/15/2016",2300.000000  ,257.600000  ,257.850000  ,258.100000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2325 Index",0,9,"01/15/2016",2325.000000  ,282.600000  ,282.850000  ,283.100000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2350 Index",0,9,"01/15/2016",2350.000000  ,307.600000  ,307.850000  ,308.100000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2375 Index",0,9,"01/15/2016",2375.000000  ,332.600000  ,332.850000  ,333.100000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2400 Index",0,9,"01/15/2016",2400.000000  ,357.600000  ,357.850000  ,358.100000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2450 Index",0,9,"01/15/2016",2450.000000  ,407.600000  ,407.850000  ,408.100000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2500 Index",0,9,"01/15/2016",2500.000000  ,457.600000  ,457.850000  ,458.100000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2550 Index",0,9,"01/15/2016",2550.000000  ,507.600000  ,507.850000  ,508.100000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2600 Index",0,9,"01/15/2016",2600.000000  ,557.500000  ,557.750000  ,558.000000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2650 Index",0,9,"01/15/2016",2650.000000  ,607.500000  ,607.750000  ,608.000000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P2700 Index",0,9,"01/15/2016",2700.000000  ,657.500000  ,657.750000  ,658.000000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 01/15/16 P3000 Index",0,9,"01/15/2016",3000.000000  ,957.400000  ,957.650000  ,957.900000  ,"Put",14  ,"12/31/2015",15  ,
"SPX US 02/19/16 C300 Index",0,9,"02/19/2016",300.000000  ,1735.900000  ,1736.150000  ,1736.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C400 Index",0,9,"02/19/2016",400.000000  ,1636.000000  ,1636.250000  ,1636.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C500 Index",0,9,"02/19/2016",500.000000  ,1536.100000  ,1536.350000  ,1536.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C550 Index",0,9,"02/19/2016",550.000000  ,1486.200000  ,1486.450000  ,1486.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C600 Index",0,9,"02/19/2016",600.000000  ,1436.200000  ,1436.450000  ,1436.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C650 Index",0,9,"02/19/2016",650.000000  ,1386.300000  ,1386.550000  ,1386.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C700 Index",0,9,"02/19/2016",700.000000  ,1336.300000  ,1336.550000  ,1336.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C750 Index",0,9,"02/19/2016",750.000000  ,1286.400000  ,1286.650000  ,1286.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C800 Index",0,9,"02/19/2016",800.000000  ,1236.400000  ,1236.650000  ,1236.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C825 Index",0,9,"02/19/2016",825.000000  ,1211.500000  ,1211.750000  ,1212.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C850 Index",0,9,"02/19/2016",850.000000  ,1186.500000  ,1186.750000  ,1187.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C875 Index",0,9,"02/19/2016",875.000000  ,1161.500000  ,1161.750000  ,1162.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C900 Index",0,9,"02/19/2016",900.000000  ,1136.500000  ,1136.750000  ,1137.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C925 Index",0,9,"02/19/2016",925.000000  ,1111.600000  ,1111.850000  ,1112.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C950 Index",0,9,"02/19/2016",950.000000  ,1086.600000  ,1086.850000  ,1087.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C975 Index",0,9,"02/19/2016",975.000000  ,1061.600000  ,1061.850000  ,1062.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1000 Index",0,9,"02/19/2016",1000.000000  ,1036.600000  ,1036.850000  ,1037.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1025 Index",0,9,"02/19/2016",1025.000000  ,1011.700000  ,1011.950000  ,1012.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1050 Index",0,9,"02/19/2016",1050.000000  ,986.700000  ,986.950000  ,987.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1075 Index",0,9,"02/19/2016",1075.000000  ,961.700000  ,961.950000  ,962.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1100 Index",0,9,"02/19/2016",1100.000000  ,936.800000  ,937.050000  ,937.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1125 Index",0,9,"02/19/2016",1125.000000  ,911.800000  ,912.050000  ,912.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1150 Index",0,9,"02/19/2016",1150.000000  ,886.900000  ,887.150000  ,887.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1175 Index",0,9,"02/19/2016",1175.000000  ,861.900000  ,862.150000  ,862.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1200 Index",0,9,"02/19/2016",1200.000000  ,837.000000  ,837.250000  ,837.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1225 Index",0,9,"02/19/2016",1225.000000  ,812.000000  ,812.250000  ,812.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1250 Index",0,9,"02/19/2016",1250.000000  ,787.100000  ,787.350000  ,787.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1260 Index",0,9,"02/19/2016",1260.000000  ,777.100000  ,777.350000  ,777.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1275 Index",0,9,"02/19/2016",1275.000000  ,762.200000  ,762.450000  ,762.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1280 Index",0,9,"02/19/2016",1280.000000  ,757.200000  ,757.450000  ,757.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1300 Index",0,9,"02/19/2016",1300.000000  ,737.200000  ,737.450000  ,737.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1310 Index",0,9,"02/19/2016",1310.000000  ,727.300000  ,727.550000  ,727.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1320 Index",0,9,"02/19/2016",1320.000000  ,717.300000  ,717.550000  ,717.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1325 Index",0,9,"02/19/2016",1325.000000  ,712.300000  ,712.550000  ,712.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1330 Index",0,9,"02/19/2016",1330.000000  ,707.300000  ,707.550000  ,707.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1335 Index",0,9,"02/19/2016",1335.000000  ,702.400000  ,702.650000  ,702.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1340 Index",0,9,"02/19/2016",1340.000000  ,697.400000  ,697.650000  ,697.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1345 Index",0,9,"02/19/2016",1345.000000  ,692.400000  ,692.650000  ,692.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1350 Index",0,9,"02/19/2016",1350.000000  ,687.400000  ,687.650000  ,687.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1355 Index",0,9,"02/19/2016",1355.000000  ,682.400000  ,682.650000  ,682.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1360 Index",0,9,"02/19/2016",1360.000000  ,677.500000  ,677.750000  ,678.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1365 Index",0,9,"02/19/2016",1365.000000  ,672.500000  ,672.750000  ,673.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1370 Index",0,9,"02/19/2016",1370.000000  ,667.500000  ,667.750000  ,668.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1375 Index",0,9,"02/19/2016",1375.000000  ,662.500000  ,662.750000  ,663.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1380 Index",0,9,"02/19/2016",1380.000000  ,657.500000  ,657.750000  ,658.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1385 Index",0,9,"02/19/2016",1385.000000  ,652.600000  ,652.850000  ,653.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1390 Index",0,9,"02/19/2016",1390.000000  ,647.600000  ,647.850000  ,648.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1395 Index",0,9,"02/19/2016",1395.000000  ,642.600000  ,642.850000  ,643.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1400 Index",0,9,"02/19/2016",1400.000000  ,637.600000  ,637.850000  ,638.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1405 Index",0,9,"02/19/2016",1405.000000  ,632.600000  ,632.850000  ,633.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1410 Index",0,9,"02/19/2016",1410.000000  ,627.700000  ,627.950000  ,628.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1415 Index",0,9,"02/19/2016",1415.000000  ,622.700000  ,622.950000  ,623.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1420 Index",0,9,"02/19/2016",1420.000000  ,617.700000  ,617.950000  ,618.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1425 Index",0,9,"02/19/2016",1425.000000  ,612.700000  ,612.950000  ,613.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1430 Index",0,9,"02/19/2016",1430.000000  ,607.800000  ,608.050000  ,608.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1435 Index",0,9,"02/19/2016",1435.000000  ,602.800000  ,603.050000  ,603.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1440 Index",0,9,"02/19/2016",1440.000000  ,597.800000  ,598.050000  ,598.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1445 Index",0,9,"02/19/2016",1445.000000  ,592.800000  ,593.050000  ,593.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1450 Index",0,9,"02/19/2016",1450.000000  ,587.900000  ,588.150000  ,588.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1455 Index",0,9,"02/19/2016",1455.000000  ,582.900000  ,583.150000  ,583.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1460 Index",0,9,"02/19/2016",1460.000000  ,577.900000  ,578.150000  ,578.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1465 Index",0,9,"02/19/2016",1465.000000  ,572.900000  ,573.150000  ,573.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1470 Index",0,9,"02/19/2016",1470.000000  ,568.000000  ,568.250000  ,568.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1475 Index",0,9,"02/19/2016",1475.000000  ,563.000000  ,563.250000  ,563.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1480 Index",0,9,"02/19/2016",1480.000000  ,558.000000  ,558.250000  ,558.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1485 Index",0,9,"02/19/2016",1485.000000  ,553.000000  ,553.250000  ,553.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1490 Index",0,9,"02/19/2016",1490.000000  ,548.100000  ,548.350000  ,548.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1495 Index",0,9,"02/19/2016",1495.000000  ,543.100000  ,543.350000  ,543.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1500 Index",0,9,"02/19/2016",1500.000000  ,538.100000  ,538.350000  ,538.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1505 Index",0,9,"02/19/2016",1505.000000  ,533.200000  ,533.450000  ,533.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1510 Index",0,9,"02/19/2016",1510.000000  ,528.200000  ,528.450000  ,528.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1515 Index",0,9,"02/19/2016",1515.000000  ,523.200000  ,523.450000  ,523.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1520 Index",0,9,"02/19/2016",1520.000000  ,518.300000  ,518.550000  ,518.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1525 Index",0,9,"02/19/2016",1525.000000  ,513.300000  ,513.550000  ,513.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1530 Index",0,9,"02/19/2016",1530.000000  ,508.400000  ,508.650000  ,508.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1535 Index",0,9,"02/19/2016",1535.000000  ,503.400000  ,503.650000  ,503.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1540 Index",0,9,"02/19/2016",1540.000000  ,498.400000  ,498.650000  ,498.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1545 Index",0,9,"02/19/2016",1545.000000  ,493.500000  ,493.750000  ,494.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1550 Index",0,9,"02/19/2016",1550.000000  ,488.500000  ,488.750000  ,489.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1555 Index",0,9,"02/19/2016",1555.000000  ,483.600000  ,483.850000  ,484.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1560 Index",0,9,"02/19/2016",1560.000000  ,478.600000  ,478.850000  ,479.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1565 Index",0,9,"02/19/2016",1565.000000  ,473.600000  ,473.850000  ,474.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1570 Index",0,9,"02/19/2016",1570.000000  ,468.700000  ,468.950000  ,469.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1575 Index",0,9,"02/19/2016",1575.000000  ,463.700000  ,463.950000  ,464.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1580 Index",0,9,"02/19/2016",1580.000000  ,458.800000  ,459.050000  ,459.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1585 Index",0,9,"02/19/2016",1585.000000  ,453.800000  ,454.050000  ,454.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1590 Index",0,9,"02/19/2016",1590.000000  ,448.900000  ,449.150000  ,449.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1595 Index",0,9,"02/19/2016",1595.000000  ,444.000000  ,444.250000  ,444.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1600 Index",0,9,"02/19/2016",1600.000000  ,439.000000  ,439.250000  ,439.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1605 Index",0,9,"02/19/2016",1605.000000  ,434.100000  ,434.350000  ,434.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1610 Index",0,9,"02/19/2016",1610.000000  ,429.100000  ,429.350000  ,429.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1615 Index",0,9,"02/19/2016",1615.000000  ,424.200000  ,424.450000  ,424.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1620 Index",0,9,"02/19/2016",1620.000000  ,419.300000  ,419.550000  ,419.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1625 Index",0,9,"02/19/2016",1625.000000  ,414.300000  ,414.550000  ,414.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1630 Index",0,9,"02/19/2016",1630.000000  ,409.400000  ,409.650000  ,409.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1635 Index",0,9,"02/19/2016",1635.000000  ,404.500000  ,404.750000  ,405.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1640 Index",0,9,"02/19/2016",1640.000000  ,399.600000  ,399.850000  ,400.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1645 Index",0,9,"02/19/2016",1645.000000  ,394.600000  ,394.850000  ,395.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1650 Index",0,9,"02/19/2016",1650.000000  ,389.700000  ,389.950000  ,390.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1655 Index",0,9,"02/19/2016",1655.000000  ,384.800000  ,385.050000  ,385.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1660 Index",0,9,"02/19/2016",1660.000000  ,379.900000  ,380.150000  ,380.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1665 Index",0,9,"02/19/2016",1665.000000  ,375.000000  ,375.250000  ,375.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1670 Index",0,9,"02/19/2016",1670.000000  ,370.100000  ,370.350000  ,370.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1675 Index",0,9,"02/19/2016",1675.000000  ,365.200000  ,365.450000  ,365.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1680 Index",0,9,"02/19/2016",1680.000000  ,360.300000  ,360.550000  ,360.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1685 Index",0,9,"02/19/2016",1685.000000  ,355.400000  ,355.650000  ,355.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1690 Index",0,9,"02/19/2016",1690.000000  ,350.500000  ,350.750000  ,351.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1695 Index",0,9,"02/19/2016",1695.000000  ,345.600000  ,345.850000  ,346.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1700 Index",0,9,"02/19/2016",1700.000000  ,340.700000  ,340.950000  ,341.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1705 Index",0,9,"02/19/2016",1705.000000  ,335.900000  ,336.150000  ,336.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1710 Index",0,9,"02/19/2016",1710.000000  ,331.000000  ,331.250000  ,331.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1715 Index",0,9,"02/19/2016",1715.000000  ,326.100000  ,326.350000  ,326.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1720 Index",0,9,"02/19/2016",1720.000000  ,321.300000  ,321.550000  ,321.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1725 Index",0,9,"02/19/2016",1725.000000  ,316.400000  ,316.650000  ,316.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1730 Index",0,9,"02/19/2016",1730.000000  ,311.600000  ,311.850000  ,312.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1735 Index",0,9,"02/19/2016",1735.000000  ,306.700000  ,306.950000  ,307.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1740 Index",0,9,"02/19/2016",1740.000000  ,301.900000  ,302.150000  ,302.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1745 Index",0,9,"02/19/2016",1745.000000  ,297.100000  ,297.350000  ,297.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1750 Index",0,9,"02/19/2016",1750.000000  ,292.300000  ,292.550000  ,292.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1755 Index",0,9,"02/19/2016",1755.000000  ,287.400000  ,287.650000  ,287.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1760 Index",0,9,"02/19/2016",1760.000000  ,282.600000  ,282.850000  ,283.100000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1765 Index",0,9,"02/19/2016",1765.000000  ,277.800000  ,278.050000  ,278.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1770 Index",0,9,"02/19/2016",1770.000000  ,273.000000  ,273.250000  ,273.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1775 Index",0,9,"02/19/2016",1775.000000  ,268.300000  ,268.550000  ,268.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1780 Index",0,9,"02/19/2016",1780.000000  ,263.500000  ,263.750000  ,264.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1785 Index",0,9,"02/19/2016",1785.000000  ,258.700000  ,258.950000  ,259.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1790 Index",0,9,"02/19/2016",1790.000000  ,254.000000  ,254.250000  ,254.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1795 Index",0,9,"02/19/2016",1795.000000  ,249.200000  ,249.450000  ,249.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1800 Index",0,9,"02/19/2016",1800.000000  ,244.500000  ,244.750000  ,245.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1805 Index",0,9,"02/19/2016",1805.000000  ,239.800000  ,240.050000  ,240.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1810 Index",0,9,"02/19/2016",1810.000000  ,235.100000  ,235.350000  ,235.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1815 Index",0,9,"02/19/2016",1815.000000  ,230.400000  ,230.650000  ,230.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1820 Index",0,9,"02/19/2016",1820.000000  ,225.700000  ,225.950000  ,226.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1825 Index",0,9,"02/19/2016",1825.000000  ,221.000000  ,221.250000  ,221.500000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1830 Index",0,9,"02/19/2016",1830.000000  ,216.400000  ,216.650000  ,216.900000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1835 Index",0,9,"02/19/2016",1835.000000  ,211.700000  ,211.950000  ,212.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1840 Index",0,9,"02/19/2016",1840.000000  ,207.100000  ,207.350000  ,207.600000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1845 Index",0,9,"02/19/2016",1845.000000  ,202.500000  ,202.750000  ,203.000000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1850 Index",0,9,"02/19/2016",1850.000000  ,197.900000  ,198.150000  ,198.400000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1855 Index",0,9,"02/19/2016",1855.000000  ,193.300000  ,193.550000  ,193.800000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1860 Index",0,9,"02/19/2016",1860.000000  ,188.800000  ,189.050000  ,189.300000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1865 Index",0,9,"02/19/2016",1865.000000  ,184.200000  ,184.450000  ,184.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1870 Index",0,9,"02/19/2016",1870.000000  ,179.700000  ,179.950000  ,180.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1875 Index",0,9,"02/19/2016",1875.000000  ,175.200000  ,175.450000  ,175.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1880 Index",0,9,"02/19/2016",1880.000000  ,170.700000  ,170.950000  ,171.200000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1885 Index",0,9,"02/19/2016",1885.000000  ,166.200000  ,166.450000  ,166.700000  ,"Call",49  ,"12/31/2015",50  ,
"SPX US 02/19/16 C1890 Index",0,9,"02/19/2016",1890.000000  ,161.800000  ,162.050000  ,162.300000  ,"Call",49  ,"12/31/2015",50  ,
